27.9,32.6,23.8,1011.5,65,0,1.1,5.2,7.2,07-2015,
25.8,33.2,21.4,1013,65,0,1.3,7.2,14.4,07-2015,
-,-,-,-,-,-,-,-,-,07-2015,
25.8,29.6,22.2,1015.2,74,0,1.1,10.7,18,07-2015,
-,-,-,-,-,-,-,-,-,07-2015,
28.6,35.6,21.6,1012.3,64,0,1.4,8.7,18,07-2015,
29.1,33.4,23.8,1009.2,63,0,1,7.2,18,07-2015,
28.8,35.8,22,1008.4,64,0,1.8,8.3,14.4,07-2015,
29.3,32.6,22.4,1010.4,64,0,1.6,5.7,10.7,07-2015,
29.9,35,24.4,1010.4,63,0,1.3,7.2,14.4,07-2015,
29,36.4,23.6,1010.4,63,0,1.4,8.1,14.4,07-2015,
29.1,33.4,23.8,1011.6,65,0,1.6,9.1,14.4,07-2015,
29.1,36.6,23,1011.1,64,0,1.4,8.1,18,07-2015,
29.6,33.6,24,1009.4,63,0,1.6,6.5,10.7,07-2015,
29.1,36.4,23,1008,63,0,1.9,5.7,10.7,07-2015,
29.9,35.2,24.2,1010.8,62,0,1.4,8.3,14.4,07-2015,
29.8,37,24,1011.5,64,0,1.4,7.2,14.4,07-2015,
30.6,36.4,25.4,1011,63,0,1.9,6.7,10.7,07-2015,
31.3,38.4,25.2,1008.7,61,0,1.8,6.1,10.7,07-2015,
30.3,39.6,25.2,1007.9,62,0,1.8,6.7,14.4,07-2015,
-,-,-,-,-,-,-,-,-,07-2015,
-,-,-,-,-,-,-,-,-,07-2015,
-,-,-,-,-,-,-,-,-,07-2015,
-,-,-,-,-,-,-,-,-,07-2015,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
5.4,10.2,3,1021.8,91,0,0.6,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
11.5,16.6,8.4,1022.4,83,0,0.5,5.4,10.7,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
10.2,14,8.4,1026.8,86,0,1,3.5,3.5,12-2013,
8.5,9.4,7.8,1028,95,17.02,0.3,3.5,3.5,12-2013,
9.2,9.8,8.6,1025.7,97,9.4,0.3,-,-,12-2013,
11.4,17.6,8,1017.6,89,0,0.5,5.4,7.2,12-2013,
-,-,-,-,-,-,-,-,-,12-2013,
7.9,8.6,7.2,1028.2,95,27.94,0.5,-,-,12-2013,
23.2,31.4,18,1010.9,73,0,1.9,8.5,14.4,05-2016,
29.3,36,20,1004.7,48,0,3.1,4.3,7.2,05-2016,
19.1,23.2,16.8,1016.7,67,1.27,2.6,4.8,10.7,05-2016,
21.8,30.6,18.4,1016.9,66,0,1.9,5.9,10.7,05-2016,
24.8,32.4,17.6,1015,53,0,2.9,5.9,10.7,05-2016,
25.6,34.4,19,1013.3,47,0,2.7,6.7,10.7,05-2016,
24,34.6,18.6,1008.9,54,0,2.7,6.7,10.7,05-2016,
24,30.3,18.6,1008.8,69,0,1.9,4.4,7.2,05-2016,
25.2,31.3,19.6,1007.8,72,3.3,1.9,6.7,10.7,05-2016,
27.9,37.2,22.2,1006.4,63,1.02,1.8,4.6,10.7,05-2016,
27.8,38.4,21.4,1010.4,64,0,1.4,5.7,7.2,05-2016,
27.7,34.6,23,1012.1,72,0,1.3,7.2,14.4,05-2016,
25.9,34,23.2,1016.9,75,0,1.3,6.7,14.4,05-2016,
26,32.8,21,1014.5,71,1.02,1.6,5.4,10.7,05-2016,
23.1,34.4,20.4,1013.3,79,0,1.4,5.9,10.7,05-2016,
26.7,33.8,20.2,1009.1,66,12.95,2.1,5.9,7.2,05-2016,
28.6,36.5,18.6,1007.6,63,0,2.1,5,7.2,05-2016,
23.9,28,21.2,1010.4,83,7.87,1.8,10.7,21.7,05-2016,
24.7,29.8,20.2,1009.7,80,4.06,1.3,7.2,14.4,05-2016,
23.1,32,21,1011.3,82,0,1.1,6.1,10.7,05-2016,
24.6,29.2,22.2,1012.3,83,0.51,1.4,5.9,10.7,05-2016,
27.9,32.2,24.4,1009.7,79,0,1.1,9.1,14.4,05-2016,
28.6,33.6,24.4,1007.5,73,0.51,1.4,6.3,14.4,05-2016,
27.9,35,23.6,1007.9,77,1.78,1.4,7.2,10.7,05-2016,
28.1,35.4,23.6,1010.9,79,0,1.3,6.7,14.4,05-2016,
26.5,33.6,23.2,1011.7,73,5.08,1.4,5,10.7,05-2016,
27.8,38.4,22.6,1004.8,60,0,1.8,4.3,7.2,05-2016,
26.7,38.4,22.2,1007.1,70,2.03,2.4,4.6,7.2,05-2016,
